ROI,Image1_Value,Image2_Value
1,213,9.903296
1,214,10.137865
1,212,9.883296
1,208,9.722718
1,210,10.129899
1,201,10.026598
1,206,10.002383
1,214,9.875296
1,224,9.910653
1,221,10.162075
1,207,9.895985
1,207,10.025353
1,210,10.152023
1,200,10.122336
1,223,9.974434
1,216,10.050828
1,197,9.848091
1,200,10.352944
1,208,9.821358
1,208,9.933498
1,225,9.840288
1,205,10.046962
1,195,9.736267
1,222,10.028518
1,221,10.045906
1,203,10.151933
1,192,10.145735
1,191,10.063397
1,215,10.164096
1,203,9.909295
1,216,10.265401
1,205,10.016313
1,215,10.00049
1,198,9.879696
1,207,10.025353
1,208,9.8307085
1,206,9.933498
1,206,10.061574
1,220,10.013813
1,220,10.100747
1,222,10.062495
1,204,10.203635
1,217,10.103817
1,218,10.174243
1,202,10.160075
1,218,10.190128
1,206,9.878921
1,223,9.967067
1,208,10.156089
1,222,9.629121
1,221,9.72947
1,209,9.929537
1,215,9.852024
1,208,10.19243
1,215,10.162075
1,221,9.920292
1,211,9.781516
1,200,9.967067
1,223,9.940726
1,201,10.087539
1,213,10.060542
1,205,9.963316
1,216,9.952139
1,208,10.038148
1,208,9.897807
1,223,10.178322
1,206,9.940897
1,209,10.222402
1,206,9.888719
1,197,10.236889
1,202,9.926145
1,207,10.00428
1,210,9.776318
1,198,10.043112
1,214,9.989494
1,203,10.082916
1,207,9.800596
1,208,9.779702
1,211,9.930087
1,204,9.793738
1,215,9.865374
1,208,10.141682
1,219,10.251541
1,224,9.871686
1,204,10.087539
1,193,9.882555
1,191,9.8129
1,200,9.824888
1,218,9.718669
1,218,10.141682
1,193,10.1723
1,202,9.994822
1,215,9.607848
1,206,9.952139
1,199,10.105782
1,215,10.042868
1,206,10.011369
1,213,10.084885
1,204,10.307717
1,213,9.991391
2,-10,8.875147
2,29,8.417174
2,19,8.596426
2,-18,8.299377
2,7,8.21084
2,-19,8.621351
2,0,8.274667
2,-16,8.423406
2,-21,8.667562
2,-25,8.485309
2,-28,8.760944
2,-12,8.411523
2,3,8.6058445
2,7,8.505378
2,-21,8.292858
2,-16,8.083013
2,-9,8.793895
2,-2,8.575013
2,-5,8.552183
2,10,8.564395
2,5,8.46083
2,-30,8.321245
2,-5,8.186944
2,-6,8.360536
2,17,8.271265
2,-11,8.523959
2,-30,8.417174
2,-32,8.450957
2,-7,8.530997
2,-1,8.389453
2,31,8.527972
2,-19,8.48491
2,3,8.340793
2,10,8.617994
2,-37,8.489711
2,-14,8.615765
2,13,8.378797
2,-29,8.861968
2,1,8.17161
2,20,8.164638
2,-14,8.564584
2,25,8.728079
2,-28,8.512385
2,-7,8.270816
2,-13,8.447408
2,-21,8.59075
2,-29,8.544316
2,-14,8.138909
2,-1,8.46689
2,10,8.333037
2,8,8.704452
2,2,8.45933
2,-17,8.294479
2,17,8.210712
2,-9,8.675444
2,5,8.308955
2,-60,8.4502535
2,-12,8.411836
2,21,8.752173
2,-6,8.224544
2,10,8.194742
2,4,8.468796
2,-55,8.734953
2,-6,8.364928
2,1,8.561459
2,4,8.331336
2,10,8.1003275
2,32,8.697185
2,25,8.725273
2,-14,8.587098
2,22,8.654469
2,-28,8.343375
2,4,8.474565
2,-5,8.355688
2,5,8.763357
2,-28,8.51998
2,6,8.277772
2,-52,8.345062
2,20,8.416252
2,-46,8.365814
2,-15,8.314422
2,21,8.322079
2,10,8.786687
2,8,8.572949
2,-15,8.14094
2,4,8.351016
2,-12,8.313013
2,-6,8.908669
2,10,8.57941
2,8,7.9595466
2,-5,8.7615185
2,-18,8.643213
2,8,8.158474
2,-10,8.45933
2,-1,8.548117
2,7,8.408062
2,-34,8.398241
2,-4,8.245092
2,-8,8.532131
2,-1,8.149101
3,-990,17.492281
3,-995,0.0
3,-992,0.0
3,-994,20.913692
3,-987,0.0
3,-993,0.0
3,-992,0.0
3,-992,0.0
3,-992,16.48086
3,-988,7.4491878
3,-991,0.0
3,-989,15.259087
3,-990,7.4491878
3,-989,0.0
3,-994,0.0
3,-987,0.0
3,-993,15.695488
3,-994,0.0
3,-994,13.077692
3,-993,0.0
3,-991,21.712467
3,-991,7.449189
3,-992,0.0
3,-996,0.0
3,-987,0.0
3,-989,0.0
3,-991,0.0
3,-989,13.707704
3,-992,13.957267
3,-989,0.0
3,-990,14.53635
3,-989,13.707704
3,-999,7.4491878
3,-992,0.0
3,-997,0.0
3,-992,7.449189
3,-986,0.0
3,-992,0.0
3,-992,14.536273
3,-993,0.0
3,-985,0.0
3,-994,10.162049
3,-994,7.449188
3,-990,11.066733
3,-994,0.0
3,-992,0.0
3,-995,0.0
3,-990,0.0
3,-994,0.0
3,-990,0.0
3,-991,9.500484
3,-990,7.449188
3,-987,0.0
3,-990,0.0
3,-992,0.0
3,-992,18.55319
3,-987,0.0
3,-990,11.537492
3,-996,7.449189
3,-991,0.0
3,-986,7.449189
3,-993,0.0
3,-989,0.0
3,-993,0.0
3,-990,14.53635
