# This file has I-values used as reference for SPR calculation based on composition
# check the documentation for more info.
# "Element","I-Value (eV)"
"H",19.2
"He",41.8
"Li",40.0
"Be",63.7
"B",85.9
"C",81.0
"N",82.0
"O",106.0
"F",115
"Ne",137
"Na",168.4
"Mg",176.3
"Al",187.6
"Si",195.5
"P",195.5
"S",203.4
"Cl",180
"Ar",188
"K",190
"Ca",215.8
"Sc",216
"Ti",233
"V",245
"Cr",257
"Mn",272
"Fe",286
"Co",297
"Ni",311
"Cu",322
"Zn",330
"Ga",334
"Ge",350
"As",347
"Se",348
"Br",343
"Kr",352
"Rb",363
"Sr",366
"Y",379
"Zr",393
"Nb",417
"Mo",424
"Tc",428
"Ru",441
"Rh",449
"Pd",470
"Ag",470
"Cd",469
"In",488
"Sn",488
"Sb",487
"Te",482
"I",554.8
"Xe",482
"Cs",488
"Ba",491
"La",501
"Ce",523
"Pr",535
"Nd",546
"Pm",540
"Sm",544
"Eu",547
"Gd",593
"Tb",566
"Dy",573
"Ho",581
"Er",589
"Tm",596
"Yb",603
"Lu",523
"Hf",602
"Ta",718
"W",727
"Re",736
"Os",746
"Ir",757
"Pt",790
"Au",790
"Hg",800
"Tl",810
"Pb",823
"Bi",823
"Th",847
"Pa",878
"U",890
