X(mm),Y(mm),Z(mm),Active
87.4,197.2,239.9,1
87.4,172.2,239.9,1
97.4,197.2,239.9,1
97.4,184.7,239.9,1
97.4,172.2,239.9,1
107.4,197.2,239.9,1
107.4,184.7,239.9,1
107.4,172.2,239.9,1
107.4,166.2,239.9,1
117.4,197.2,239.9,1
117.4,184.7,239.9,1
117.4,172.2,239.9,1
127.4,197.2,239.9,1
127.4,184.7,239.9,1
127.4,172.2,239.9,1
137.4,197.2,239.9,1
137.4,172.2,239.9,1
137.4,166.2,239.9,1
147.4,172.2,239.9,1
157.4,197.2,239.9,1
157.4,184.7,239.9,1
157.4,172.2,239.9,1
167.4,197.2,239.9,1
167.4,184.7,239.9,1
167.4,172.2,239.9,1
167.4,166.2,239.9,1
177.4,197.2,239.9,1
177.4,184.7,239.9,1
177.4,172.2,239.9,1
187.4,184.7,239.9,1
187.4,172.2,239.9,1
197.4,197.2,239.9,1
197.4,184.7,239.9,1
197.4,172.2,239.9,1
197.4,166.2,239.9,1
207.4,197.2,239.9,1
207.4,184.7,239.9,1
207.4,172.2,239.9,1
217.4,197.2,239.9,1
217.4,184.7,239.9,1
217.4,172.2,239.9,1
227.4,197.2,239.9,1
227.4,184.7,239.9,1
227.4,172.2,239.9,1
227.4,166.2,239.9,1
237.4,197.2,239.9,1
237.4,184.7,239.9,1
237.4,172.2,239.9,1
247.4,197.2,239.9,1
247.4,172.2,239.9,1
257.4,197.2,239.9,1
257.4,184.7,239.9,1
257.4,172.2,239.9,1
257.4,166.2,239.9,1
267.4,197.2,239.9,1
267.4,184.7,239.9,1
267.4,172.2,239.9,1
277.4,197.2,239.9,1
277.4,184.7,239.9,1
277.4,172.2,239.9,1
287.4,172.2,239.9,1
287.4,166.2,239.9,1
297.4,197.2,239.9,1
297.4,184.7,239.9,1
297.4,172.2,239.9,1
307.4,172.2,239.9,1
317.4,197.2,239.9,1
317.4,184.7,239.9,1
317.4,172.2,239.9,1
317.4,166.2,239.9,1
327.4,172.2,239.9,1
337.4,197.2,239.9,1
337.4,184.7,239.9,1
337.4,172.2,239.9,1
347.4,184.7,239.9,1
347.4,172.2,239.9,1
347.4,166.2,239.9,1
