# V2 (2020), Anisotropy function for GammaMed_HDR_Plus (L=0.35cm),,,,,,,,,,,,,
Theta/deg,0.25,0.50,0.75,1.00,2.00,3.00,4.00,5.00,7.50,10.00,12.50,15.00,20.00
0,0.769,0.656,0.630,0.619,0.628,0.651,0.675,0.696,0.741,0.773,0.800,0.819,0.862
1,0.767,0.655,0.628,0.619,0.633,0.655,0.678,0.700,0.744,0.778,0.803,0.822,0.850
2,0.767,0.654,0.628,0.622,0.642,0.666,0.689,0.709,0.752,0.784,0.808,0.826,0.852
3,0.767,0.655,0.634,0.633,0.654,0.678,0.699,0.719,0.759,0.789,0.813,0.831,0.855
5,0.766,0.669,0.658,0.659,0.679,0.700,0.720,0.738,0.775,0.803,0.824,0.841,0.863
7,0.768,0.693,0.685,0.686,0.705,0.725,0.743,0.759,0.792,0.817,0.836,0.851,0.871
10,-,0.734,0.728,0.730,0.746,0.762,0.777,0.791,0.818,0.839,0.855,0.867,0.883
12,0.813,0.762,0.757,0.758,0.772,0.786,0.799,0.811,0.835,0.853,0.867,0.877,0.891
15,0.849,0.799,0.794,0.795,0.806,0.818,0.828,0.838,0.857,0.872,0.884,0.892,0.903
20,0.893,0.850,0.845,0.845,0.852,0.860,0.868,0.874,0.888,0.899,0.906,0.912,0.920
25,0.921,0.887,0.882,0.882,0.887,0.892,0.897,0.902,0.912,0.920,0.925,0.929,0.935
30,0.941,0.914,0.910,0.910,0.913,0.917,0.921,0.924,0.931,0.936,0.940,0.943,0.947
35,0.955,0.935,0.931,0.931,0.933,0.936,0.939,0.941,0.946,0.950,0.953,0.955,0.957
40,0.965,0.950,0.948,0.948,0.949,0.951,0.953,0.955,0.958,0.961,0.963,0.964,0.966
45,0.973,0.963,0.961,0.961,0.962,0.963,0.964,0.966,0.968,0.970,0.971,0.972,0.974
50,0.980,0.972,0.971,0.971,0.972,0.973,0.974,0.975,0.976,0.977,0.979,0.979,0.980
55,0.986,0.980,0.979,0.979,0.980,0.980,0.981,0.982,0.983,0.984,0.984,0.985,0.985
60,0.990,0.985,0.985,0.985,0.986,0.986,0.987,0.987,0.988,0.989,0.989,0.989,0.989
65,0.993,0.990,0.990,0.990,0.991,0.991,0.992,0.992,0.992,0.992,0.993,0.993,0.993
70,0.996,0.993,0.994,0.994,0.995,0.995,0.995,0.995,0.995,0.995,0.996,0.995,0.996
75,0.998,0.996,0.996,0.997,0.997,0.997,0.998,0.998,0.998,0.998,0.998,0.998,0.998
80,0.999,0.998,0.998,0.998,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
85,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
90,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
95,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
100,0.999,0.998,0.998,0.998,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
105,0.998,0.996,0.996,0.997,0.997,0.997,0.998,0.997,0.997,0.997,0.998,0.997,0.997
110,0.996,0.994,0.994,0.994,0.994,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995
115,0.993,0.990,0.990,0.990,0.991,0.991,0.991,0.992,0.992,0.992,0.993,0.993,0.993
120,0.990,0.985,0.985,0.985,0.986,0.986,0.987,0.987,0.988,0.988,0.989,0.989,0.989
125,0.986,0.979,0.979,0.979,0.979,0.980,0.981,0.981,0.982,0.983,0.984,0.984,0.984
130,0.980,0.972,0.971,0.971,0.972,0.972,0.973,0.974,0.976,0.977,0.978,0.979,0.979
135,0.974,0.962,0.961,0.961,0.962,0.963,0.964,0.965,0.968,0.969,0.971,0.972,0.973
140,0.965,0.950,0.948,0.948,0.949,0.951,0.953,0.954,0.958,0.960,0.962,0.964,0.965
145,0.955,0.934,0.932,0.931,0.933,0.936,0.938,0.941,0.945,0.949,0.952,0.954,0.956
150,0.941,0.914,0.910,0.910,0.913,0.916,0.920,0.923,0.930,0.935,0.939,0.942,0.946
155,0.921,0.887,0.882,0.882,0.886,0.891,0.896,0.901,0.911,0.918,0.923,0.928,0.933
165,0.848,0.798,0.792,0.792,0.801,0.813,0.823,0.833,0.852,0.867,0.878,0.887,0.899
170,-,0.724,0.716,0.717,0.732,0.748,0.764,0.778,0.807,0.829,0.846,0.858,0.875
175,-,-,0.599,0.601,0.624,0.651,0.675,0.696,0.740,0.773,0.799,0.817,0.843
177,-,-,-,0.515,0.547,0.581,0.611,0.638,0.695,0.736,0.767,0.792,0.825
178,-,-,-,-,0.486,0.519,0.554,0.586,0.654,0.704,0.742,0.769,0.808
179,-,-,-,-,-,0.425,0.453,0.490,0.580,0.645,0.696,0.730,0.779
180,-,-,-,-,-,-,-,-,0.493,0.575,0.637,0.682,0.741
