# V2 (2020), Radial dose function for GammaMed_HDR_Plus			
# r/cm,g_L(r),L=0.35cm,g_p(r)_%unc
0.20,0.992,0.823,0.01%
0.25,0.993,0.875,0.01%
0.30,0.994,0.909,0.01%
0.40,0.995,0.948,0.01%
0.50,0.996,0.968,0.01%
0.60,0.997,0.980,0.01%
0.70,0.998,0.988,0.01%
0.75,0.998,0.991,0.01%
0.80,0.999,0.993,0.01%
0.90,0.999,0.997,0.01%
1.00,1.000,1.000,0.01%
1.25,1.002,1.005,0.01%
1.50,1.003,1.009,0.01%
1.75,1.004,1.011,0.01%
2.00,1.006,1.013,0.01%
2.50,1.007,1.016,0.01%
3.00,1.008,1.017,0.01%
3.50,1.008,1.018,0.01%
4.00,1.008,1.017,0.01%
4.50,1.006,1.016,0.01%
5.00,1.004,1.014,0.01%
6.00,0.997,1.007,0.01%
7.00,0.988,0.997,0.01%
8.00,0.975,0.985,0.01%
9.00,0.959,0.969,0.01%
10.00,0.942,0.951,0.01%
11.00,0.922,0.931,0.01%
12.00,0.900,0.909,0.01%
13.00,0.877,0.886,0.01%
14.00,0.852,0.861,0.02%
15.00,0.826,0.835,0.02%
16.00,0.800,0.808,0.02%
17.00,0.772,0.780,0.02%
18.00,0.744,0.752,0.02%
19.00,0.716,0.723,0.02%
20.00,0.687,0.694,0.02%
